RaceID,Name,Time,Gender,Age_Lower,Age_Upper,Shoes
BS18,Adam Goldstein,10346,M,35,39,
BS18,Michel Cusson,10351,M,50,54,Mizuno Hitogami 2
BS18,Jesse Merkel,10357,M,25,34,
BS18,Steve Williams,10357,M,25,34,
BS18,Yuichiro Uemura,10335,M,35,39,
BS18,Ryan Starbuck,10359,M,25,34,New Balance Zante 3
BS18,Matt Klasen,10360,M,18,39,HOKA ONE ONE Clayton 2
BS18,Adam Hammond,10360,M,35,39,HOKA ONE ONE Clifton 5
BS18,Jon Kuehler,10359,M,18,39,Under Armour Gemini
BS18,Sean Mcnamara,10364,M,25,34,
BS18,Jon Kuehler,10359,M,35,39,Brooks Ghost
BS18,Kevin Yamamura,10360,M,40,44,Nike VaporFly 4%
BS18,Leslie Mccampbell,10357,M,25,34,
BS18,Brent Kocis,10350,M,25,34,
BS18,Aaron Fraley,10361,M,18,39,
BS18,Austin Che,10317,M,25,34,HOKA ONE ONE Tracer
BS18,Philip Blankenship,10363,M,18,39,New Balance 1500
BS18,Luke Shumaker,10368,M,18,39,Nike zoom vaporfly 4%
BS18,Steven Vargo,10366,M,18,39,
BS18,Alan Kelly,10366,M,35,39,New Balance 1500
BS18,Jordan Roby,10369,M,25,34,
BS18,Michael Demars,10373,M,45,49,
BS18,Will Rivera,10371,M,45,49,Altra Escalante
BS18,Fabio Buccigrossi,10370,M,45,49,Nike Zoom Fly azzurra e bianca
BS18,Loren Baker,10364,M,25,34,Brooks Ghost
BS18,Andrew Bruce,10370,M,40,44,
BS18,Dan Clemo,10377,M,18,39,Nike Elite 9 - Blue
BS18,Mathieu Girard,10359,M,35,39,Mizuno Wave Rider 20
BS18,Joe Guinness,10388,M,35,39,Brooks Asteria
BS18,Scott Dunlap,10398,M,45,49,Nike VaporFly 4%
BS18,Zachary Holt,10386,M,25,34,
BS18,Pedro Freitas,10392,M,25,34,adidas BOSTON BOOST
BS18,Krystian Stefanski,10391,M,35,39,
BS18,Michel Cusson,10351,M,50,54,
BS18,Jeff Duyn,10397,M,55,59,Altra Escalante Boston 2018
BS18,Patrick Murray,10401,M,45,49,
BS18,Tyler Heath,10403,M,25,34,
BS18,Jose Lopez,10380,M,25,34,
BS18,Trenton Ross,10409,M,18,39,
BS18,Adam Groff,10409,M,40,44,adidas Ultra Boosts
BS18,Jesse Merkel,10357,M,25,34,adidas adios 3
BS18,Dane Mcelroy,10405,M,18,39,adidas adizero
BS18,Christopher Clark,10419,M,35,39,
BS18,Joseph York,10418,M,25,34,Nike zoom vaporfly 4%
BS18,Sean Quealy,10420,M,35,39,Nike VaporFly 4%
BS18,Tomas Mengoni,10418,M,35,39,
BS18,Gordon Powell,10413,M,35,39,
BS18,Russell Greenwald,10418,M,40,44,ASICS DS trainer 21
BS18,Seth Yernye,10430,M,25,34,
BS18,Ryan Duell,10401,M,35,39,Nike zoom vaporfly 4%
BS18,Michael Farmer,10431,M,25,34,
